"","Latitude","Longitude","problem"
386,52.2666,-9.70961,Private fast
387,53.323004,-6.523586,Public low
388,53.162374,-6.908265,Private low
389,53.145372,-7.06519,Public low
390,52.654109,-7.244226,Private fast
391,52.655331,-7.260136,Private fast
392,52.526499,-7.135967,Public low
393,52.91297,-7.346601,Public low
394,53.118234,-7.333091,Private low
395,53.160461,-7.187451,Public low
396,53.032991,-7.298964,Public fast
397,52.565132,-8.790471,Private low
398,52.675091,-8.5739,Private low
399,52.607471,-9.099685,Public low
400,52.661893,-8.632049,Private low
401,52.667322,-8.623874,Public low
402,53.725111,-7.800276,Private fast
403,54.040456,-6.185322,Private fast
404,53.71713,-6.354049,Private fast
405,54.010244,-6.402563,Private fast
406,54.003855,-6.387454,Public fast
407,53.762046,-8.765583,Private fast
408,54.222996,-9.989089,Private low
409,53.8569,-9.3007,Public fast
410,53.9386,-8.9525,Private low
411,53.8005,-9.5241,Private fast
412,53.415451,-6.834811,Public low
413,53.654434,-6.683919,Public fast
414,53.43385,-6.47119,Private low
415,54.118976,-6.734236,Private low
416,54.180374,-7.232457,Private fast
417,52.833492,-6.927016,Public fast
418,52.801581,-6.736986,Private low
419,53.86385,-7.204457,Private fast
420,53.027069,-9.290289,Private low
421,52.761544,-8.897258,Private low
422,52.708176,-8.877285,Public fast
423,51.886038,-8.534676,Public fast
424,51.814197,-8.389447,Public low
425,51.620831,-8.88957,Public fast
426,51.852858,-8.295589,Private fast
427,51.803537,-8.30804,Public low
428,51.721685,-9.111555,Private low
429,51.750022,-9.553212,Private fast
430,51.849032,-8.331938,Private low
431,51.956697,-7.850032,Public low
432,54.797965,-7.783045,Private fast
433,54.501145,-8.188621,Private fast
434,55.251378,-7.262612,Private low
435,54.798248,-8.284545,Public low
436,54.636031,-8.443325,Private low
437,54.804946,-7.768815,Private low
438,53.251009,-6.185082,Private low
439,53.41601,-6.242058,Public fast
440,53.353856,-6.212747,Private low
441,53.31948,-6.315448,Public fast
442,53.391623,-6.116236,Private fast
443,53.375177,-6.364012,Private low
444,53.260088,-6.149376,Public fast
445,53.252775,-6.169813,Public low
446,53.277164,-6.203613,Private low
447,53.338006,-6.248054,Public low
448,53.332326,-6.255804,Private fast
449,53.335409,-6.257851,Private low
450,53.336496,-6.242715,Private fast
451,53.3344,-6.24871,Public fast
452,53.360832,-6.183082,Public fast
453,53.342945,-6.228056,Private fast
454,53.338798,-6.232894,Private low
455,53.451232,-6.15157,Private fast
456,53.283222,-6.421705,Public fast
457,53.290457,-6.199702,Private low
458,53.45423,-6.223713,Private fast
459,53.488862,-10.019564,Private fast
460,53.278213,-9.050699,Private low
461,53.276523,-9.052773,Private low
462,51.946705,-10.227204,Public low
463,51.884003,-9.589492,Public low
464,52.107344,-9.786073,Public fast
465,52.260883,-9.714192,Public fast
466,52.270976,-9.699875,Private fast
467,52.271,-9.71,Private fast
468,52.2666,-9.70961,Private fast
469,53.323004,-6.523586,Public low
470,53.162374,-6.908265,Private fast
471,53.145372,-7.06519,Private low
472,52.654109,-7.244226,Public low
473,52.655331,-7.260136,Public low
474,52.526499,-7.135967,Private fast
475,52.91297,-7.346601,Public fast
476,53.118234,-7.333091,Private low
477,53.160461,-7.187451,Public fast
478,53.032991,-7.298964,Private fast
479,52.565132,-8.790471,Public low
480,52.675091,-8.5739,Public low
481,52.607471,-9.099685,Public low
482,52.661893,-8.632049,Private fast
483,52.667322,-8.623874,Public low
484,53.725111,-7.800276,Private low
485,54.040456,-6.185322,Public fast
486,53.71713,-6.354049,Private low
487,54.010244,-6.402563,Private low
488,54.003855,-6.387454,Public fast
489,53.762046,-8.765583,Private low
490,54.222996,-9.989089,Private fast
491,53.8569,-9.3007,Private low
492,53.9386,-8.9525,Private fast
493,53.8005,-9.5241,Public low
494,53.415451,-6.834811,Public fast
495,53.654434,-6.683919,Private fast
496,53.43385,-6.47119,Private low
497,54.118976,-6.734236,Private low
498,54.180374,-7.232457,Private low
499,53.971854,-8.30158,Private fast
